SNID: SN2002cx
SURVEY: NULL
FILTERS: BIRV
REDSHIFT_FINAL: 0.0240 +- 0.0010
PEAKMJD: 52414.0
	
NOBS: 227
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 52411.3  B  NULL	6773.295  0.000	17.923  0.000
OBS: 52411.3  I  NULL	7138.386  0.000	17.866  0.000
OBS: 52411.3  R  NULL	7217.719  0.000	17.854  0.000
OBS: 52411.3  V  NULL	6480.373  0.000	17.971  0.000
OBS: 52411.3  B  NULL	7516.229  0.000	17.810  0.000
OBS: 52411.3  I  NULL	8317.638  0.000	17.700  0.000
OBS: 52411.3  R  NULL	8317.638  0.000	17.700  0.000
OBS: 52411.3  V  NULL	7516.229  0.000	17.810  0.000
OBS: 52412.3  V  NULL	5791.619  0.000	18.093  0.000
OBS: 52412.3  B  NULL	7921.365  0.000	17.753  0.000
OBS: 52412.3  B  NULL	7798.301  0.000	17.770  0.000
OBS: 52412.3  I  NULL	9727.472  0.000	17.530  0.000
OBS: 52412.3  I  NULL	9153.770  0.000	17.596  0.000
OBS: 52412.3  R  NULL	8790.225  0.000	17.640  0.000
OBS: 52412.3  R  NULL	6931.065  0.000	17.898  0.000
OBS: 52412.3  V  NULL	8090.959  0.000	17.730  0.000
OBS: 52412.3  V  NULL	7053.424  0.000	17.879  0.000
OBS: 52413.3  B  NULL	8394.600  0.000	17.690  0.000
OBS: 52419.3  B  NULL	7244.360  0.000	17.850  0.000
OBS: 52419.3  I  NULL	12022.644  0.000	17.300  0.000
OBS: 52419.3  I  NULL	11199.535  0.000	17.377  0.000
OBS: 52419.3  R  NULL	9727.472  0.000	17.530  0.000
OBS: 52419.3  R  NULL	8847.081  0.000	17.633  0.000
OBS: 52419.3  V  NULL	10471.285  0.000	17.450  0.000
OBS: 52419.3  V  NULL	9611.695  0.000	17.543  0.000
OBS: 52421.3  B  NULL	5465.124  0.000	18.156  0.000
OBS: 52421.3  I  NULL	11168.632  0.000	17.380  0.000
OBS: 52421.3  R  NULL	9238.469  0.000	17.586  0.000
OBS: 52421.3  V  NULL	7755.325  0.000	17.776  0.000
OBS: 52421.3  B  NULL	5970.353  0.000	18.060  0.000
OBS: 52421.3  I  NULL	11066.238  0.000	17.390  0.000
OBS: 52421.3  R  NULL	10185.914  0.000	17.480  0.000
OBS: 52421.3  V  NULL	8394.600  0.000	17.690  0.000
OBS: 52422.2  B  NULL	5277.157  0.000	18.194  0.000
OBS: 52422.2  I  NULL	10715.193  0.000	17.425  0.000
OBS: 52422.2  R  NULL	9229.964  0.000	17.587  0.000
