SNID: SN2011fe
SURVEY: NULL
FILTERS: gUBVrIR
REDSHIFT_FINAL: 0.0008 +- 0.0010
PEAKMJD: 55810.0
	
NOBS: 3235
NVAR: 7
VARLIST:  MJD  MJDERR  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 54975.2  0.0  g  NULL	0.000  75.662	21.610  0.000
OBS: 54975.3  0.0  g  NULL	0.000  77.396	21.585  0.000
OBS: 54975.4  0.0  g  NULL	0.000  66.509	21.750  0.000
OBS: 54975.4  0.0  g  NULL	0.000  86.872	21.460  0.000
OBS: 54975.4  0.0  g  NULL	0.000  92.742	21.389  0.000
OBS: 54975.5  0.0  g  NULL	0.000  83.730	21.500  0.000
OBS: 54975.5  0.0  g  NULL	0.000  198.646	20.562  0.000
OBS: 55245.5  0.0  g  NULL	0.000  78.719	21.567  0.000
OBS: 55562.6  0.0  g  NULL	0.000  94.293	21.371  0.000
OBS: 55563.6  0.0  g  NULL	0.000  81.899	21.524  0.000
OBS: 55566.4  0.0  g  NULL	0.000  222.679	20.438  0.000
OBS: 55569.4  0.0  g  NULL	0.000  73.960	21.635  0.000
OBS: 55596.4  0.0  g  NULL	0.000  289.254	20.154  0.000
OBS: 55598.3  0.0  g  NULL	0.000  526.161	19.504  0.000
OBS: 55598.4  0.0  g  NULL	0.000  126.730	21.050  0.000
OBS: 55624.4  0.0  g  NULL	0.000  84.504	21.490  0.000
OBS: 55629.2  0.0  g  NULL	0.000  220.028	20.451  0.000
OBS: 55629.3  0.0  g  NULL	0.000  176.392	20.691  0.000
OBS: 55630.3  0.0  g  NULL	0.000  97.203	21.338  0.000
OBS: 55630.3  0.0  g  NULL	0.000  122.563	21.086  0.000
OBS: 55631.2  0.0  g  NULL	0.000  128.374	21.036  0.000
OBS: 55632.2  0.0  g  NULL	0.000  212.070	20.491  0.000
OBS: 55632.3  0.0  g  NULL	0.000  210.319	20.500  0.000
OBS: 55649.3  0.0  g  NULL	0.000  72.925	21.650  0.000
OBS: 55649.3  0.0  g  NULL	0.000  158.957	20.804  0.000
OBS: 55650.2  0.0  g  NULL	0.000  105.390	21.250  0.000
OBS: 55650.3  0.0  g  NULL	0.000  92.742	21.389  0.000
OBS: 55653.3  0.0  g  NULL	0.000  69.643	21.700  0.000
OBS: 55653.3  0.0  g  NULL	0.000  70.003	21.694  0.000
OBS: 55654.3  0.0  g  NULL	0.000  77.133	21.589  0.000
OBS: 55654.3  0.0  g  NULL	0.000  116.219	21.144  0.000
OBS: 55655.3  0.0  g  NULL	0.000  109.870	21.205  0.000
OBS: 55655.4  0.0  g  NULL	0.000  70.807	21.682  0.000
OBS: 55656.3  0.0  g  NULL	0.000  72.390	21.658  0.000
OBS: 55656.3  0.0  g  NULL	0.000  79.814	21.552  0.000
OBS: 55657.3  0.0  g  NULL	0.000  558.829	19.439  0.000
OBS: 55657.3  0.0  g  NULL	0.000  117.079	21.136  0.000
OBS: 55662.4  0.0  g  NULL	0.000  110.377	21.200  0.000
OBS: 55662.5  0.0  g  NULL	0.000  148.456	20.878  0.000
OBS: 55685.3  0.0  g  NULL	0.000  79.228	21.560  0.000
OBS: 55685.4  0.0  g  NULL	0.000  66.020	21.758  0.000
OBS: 55686.3  0.0  g  NULL	0.000  81.448	21.530  0.000
OBS: 55687.3  0.0  g  NULL	0.000  84.039	21.496  0.000
OBS: 55687.4  0.0  g  NULL	0.000  76.644	21.596  0.000
OBS: 55688.3  0.0  g  NULL	0.000  80.035	21.549  0.000
OBS: 55688.4  0.0  g  NULL	0.000  90.298	21.418  0.000
OBS: 55689.4  0.0  g  NULL	0.000  111.193	21.192  0.000
OBS: 55689.4  0.0  g  NULL	0.000  121.506	21.096  0.000
OBS: 55712.2  0.0  g  NULL	0.000  61.546	21.834  0.000
OBS: 55712.3  0.0  g  NULL	0.000  70.288	21.690  0.000
OBS: 55713.2  0.0  g  NULL	0.000  76.602	21.597  0.000
OBS: 55713.2  0.0  g  NULL	0.000  141.579	20.930  0.000
OBS: 55714.3  0.0  g  NULL	0.000  127.855	21.040  0.000
OBS: 55714.4  0.0  g  NULL	0.000  232.744	20.390  0.000
OBS: 55715.3  0.0  g  NULL	0.000  77.782	21.580  0.000
OBS: 55715.3  0.0  g  NULL	0.000  97.472	21.335  0.000
OBS: 55716.2  0.0  g  NULL	0.000  69.196	21.707  0.000
OBS: 55716.3  0.0  g  NULL	0.000  110.377	21.200  0.000
OBS: 55717.3  0.0  g  NULL	0.000  84.271	21.493  0.000
OBS: 55717.3  0.0  g  NULL	0.000  62.356	21.820  0.000
OBS: 55719.3  0.0  g  NULL	0.000  110.377	21.200  0.000
OBS: 55719.3  0.0  g  NULL	0.000  136.420	20.970  0.000
OBS: 55720.3  0.0  g  NULL	0.000  97.024	21.340  0.000
OBS: 55720.3  0.0  g  NULL	0.000  86.632	21.463  0.000
OBS: 55736.2  0.0  g  NULL	0.000  76.081	21.604  0.000
OBS: 55736.2  0.0  g  NULL	0.000  71.331	21.674  0.000
OBS: 55737.2  0.0  g  NULL	0.000  60.657	21.850  0.000
OBS: 55737.3  0.0  g  NULL	0.000  84.039	21.496  0.000
OBS: 55738.2  0.0  g  NULL	0.000  71.859	21.666  0.000
OBS: 55739.2  0.0  g  NULL	0.000  73.195	21.646  0.000
OBS: 55739.2  0.0  g  NULL	0.000  88.243	21.443  0.000
OBS: 55740.2  0.0  g  NULL	0.000  74.487	21.627  0.000
OBS: 55740.3  0.0  g  NULL	0.000  70.938	21.680  0.000
OBS: 55741.2  0.0  g  NULL	0.000  78.429	21.571  0.000
OBS: 55741.2  0.0  g  NULL	0.000  84.039	21.496  0.000
OBS: 55743.2  0.0  g  NULL	0.000  90.049	21.421  0.000
OBS: 55743.3  0.0  g  NULL	0.000  76.644	21.596  0.000
OBS: 55744.2  0.0  g  NULL	0.000  63.165	21.806  0.000
OBS: 55744.2  0.0  g  NULL	0.000  93.514	21.380  0.000
OBS: 55745.2  0.0  g  NULL	0.000  98.012	21.329  0.000
OBS: 55745.2  0.0  g  NULL	0.000  77.925	21.578  0.000
OBS: 55746.2  0.0  g  NULL	0.000  302.886	20.104  0.000
OBS: 55746.3  0.0  g  NULL	0.000  88.487	21.440  0.000
OBS: 55747.3  0.0  g  NULL	0.000  74.968	21.620  0.000
OBS: 55748.2  0.0  g  NULL	0.000  91.808	21.400  0.000
OBS: 55748.3  0.0  g  NULL	0.000  103.867	21.266  0.000
OBS: 55752.3  0.0  g  NULL	0.000  108.362	21.220  0.000
OBS: 55752.4  0.0  g  NULL	0.000  91.134	21.408  0.000
OBS: 55776.2  0.0  g  NULL	0.000  85.286	21.480  0.000
OBS: 55776.3  0.0  g  NULL	0.000  92.146	21.396  0.000
OBS: 55777.2  0.0  g  NULL	0.000  90.966	21.410  0.000
OBS: 55777.2  0.0  g  NULL	0.000  98.828	21.320  0.000
OBS: 55778.2  0.0  g  NULL	0.000  94.562	21.368  0.000
OBS: 55778.2  0.0  g  NULL	0.000  73.431	21.642  0.000
OBS: 55795.2  0.0  g  NULL	0.000  186.586	20.630  0.000
OBS: 55796.2  0.0  g  NULL	0.000  79.228	21.560  0.000
OBS: 55796.2  0.0  g  NULL	0.000  77.133	21.589  0.000
OBS: 55796.7  0.0  g  NULL	11492.116  116.431	17.349  0.011
OBS: 55796.7  0.0  g  NULL	13740.420  139.209	17.155  0.011
OBS: 55797.2  0.0  g  NULL	11675.621  83.341	17.332  0.008
OBS: 55797.2  0.0  g  NULL	13727.770  91.667	17.156  0.007
OBS: 55797.7  0.0  g  NULL	111070.826  1023.000	14.886  0.010
OBS: 55797.7  0.0  g  NULL	115984.512  961.431	14.839  0.009
OBS: 55797.9  0.0  U  NULL	45750.938  3033.948	15.849  0.072
OBS: 55797.9  0.0  B  NULL	58344.510  2794.339	15.585  0.052
OBS: 55797.9  0.0  V  NULL	74473.197  4321.318	15.320  0.063
OBS: 55798.0  0.0  U  NULL	51951.728  3301.602	15.711  0.069
OBS: 55798.0  0.0  B  NULL	67483.873  2983.437	15.427  0.048
OBS: 55798.0  0.0  V  NULL	93929.065  5104.200	15.068  0.059
OBS: 55798.2  0.0  g  NULL	115845.722  726.879	14.840  0.007
OBS: 55798.2  0.0  g  NULL	120217.585  633.898	14.800  0.006
OBS: 55798.6  0.0  g  NULL	305632.828  3096.481	13.787  0.011
OBS: 55798.6  0.0  g  NULL	95587.257  8715.873	15.049  0.099
OBS: 55798.7  0.0  r  NULL	115133.047  9331.648	14.847  0.088
OBS: 55798.7  0.0  g  NULL	315936.644  3782.849	13.751  0.013
OBS: 55798.7  0.0  g  NULL	327189.984  3314.884	13.713  0.011
OBS: 55798.7  0.0  g  NULL	323295.753  3870.963	13.726  0.013
OBS: 55798.7  0.0  g  NULL	330826.279  3961.129	13.701  0.013
OBS: 55798.7  0.0  g  NULL	334502.987  3697.064	13.689  0.012
OBS: 55798.8  0.0  B  NULL	185353.162  5121.497	14.330  0.030
OBS: 55798.8  0.0  I  NULL	325087.297  8982.494	13.720  0.030
OBS: 55798.8  0.0  R  NULL	272897.778  5026.963	13.910  0.020
OBS: 55798.8  0.0  V  NULL	244343.055  4500.965	14.030  0.020
OBS: 55798.9  0.0  B  NULL	180301.774  4981.922	14.360  0.030
OBS: 55798.9  0.0  I  NULL	265460.556  9779.928	13.940  0.040
OBS: 55798.9  0.0  R  NULL	272897.778  12567.407	13.910  0.050
OBS: 55798.9  0.0  U  NULL	233345.806  15044.360	14.080  0.070
OBS: 55798.9  0.0  V  NULL	255858.589  9426.179	13.980  0.040
OBS: 55798.9  0.0  B  NULL	192663.746  1951.949	14.288  0.011
OBS: 55798.9  0.0  V  NULL	243668.842  1570.991	14.033  0.007
OBS: 55799.0  0.0  U  NULL	196426.465  7236.618	14.267  0.040
OBS: 55799.0  0.0  B  NULL	226568.746  6886.358	14.112  0.033
OBS: 55799.0  0.0  V  NULL	297303.485  10953.065	13.817  0.040
OBS: 55799.1  0.0  B  NULL	235071.512  8227.337	14.072  0.038
OBS: 55799.1  0.0  I  NULL	332353.304  6734.392	13.696  0.022
OBS: 55799.1  0.0  R  NULL	322700.769  3269.402	13.728  0.011
OBS: 55799.1  0.0  V  NULL	308745.048  4549.835	13.776  0.016
OBS: 55799.1  0.0  U  NULL	218977.756  7664.067	14.149  0.038
OBS: 55799.1  0.0  B  NULL	239662.453  7063.593	14.051  0.032
OBS: 55799.1  0.0  V  NULL	329913.434  11242.876	13.704  0.037
OBS: 55799.1  0.0  g  NULL	317431.777  2722.800	13.746  0.009
OBS: 55799.2  0.0  g  NULL	329599.998  2833.700	13.705  0.009
OBS: 55799.2  0.0  g  NULL	324761.097  3518.352	13.721  0.012
OBS: 55799.2  0.0  g  NULL	336511.259  3343.537	13.683  0.011
OBS: 55799.2  0.0  U  NULL	223048.856  7601.117	14.129  0.037
OBS: 55799.2  0.0  B  NULL	255858.589  7305.289	13.980  0.031
OBS: 55799.2  0.0  V  NULL	350590.384  11624.604	13.638  0.036
OBS: 55799.2  0.0  g  NULL	342466.109  2649.710	13.663  0.008
OBS: 55799.2  0.0  g  NULL	340501.634  3583.349	13.670  0.011
OBS: 55799.4  0.0  U  NULL	270146.907  8708.507	13.921  0.035
OBS: 55799.4  0.0  B  NULL	297577.438  8496.447	13.816  0.031
OBS: 55799.4  0.0  V  NULL	382648.487  12335.130	13.543  0.035
OBS: 55799.5  0.0  U  NULL	297577.438  9318.684	13.816  0.034
OBS: 55799.5  0.0  B  NULL	325087.297  8982.494	13.720  0.030
OBS: 55799.5  0.0  V  NULL	438934.786  13745.312	13.394  0.034
OBS: 55799.6  0.0  g  NULL	288403.150  13281.456	13.850  0.050
OBS: 55799.7  0.0  g  NULL	291877.085  13441.436	13.837  0.050
OBS: 55799.7  0.0  g  NULL	292684.686  14556.918	13.834  0.054
OBS: 55799.7  0.0  r  NULL	325986.789  1501.225	13.717  0.005
OBS: 55799.7  0.0  g  NULL	295937.500  14991.268	13.822  0.055
OBS: 55799.7  0.0  g  NULL	298400.812  14566.377	13.813  0.053
OBS: 55799.7  0.0  g  NULL	652228.842  7809.425	12.964  0.013
OBS: 55799.7  0.0  g  NULL	655239.394  7241.973	12.959  0.012
OBS: 55799.8  0.0  B  NULL	394457.302  18165.430	13.510  0.050
OBS: 55799.8  0.0  I  NULL	515228.645  14236.294	13.220  0.030
OBS: 55799.8  0.0  R  NULL	534564.359  14770.559	13.180  0.030
OBS: 55799.8  0.0  U  NULL	539510.623  29814.459	13.170  0.060
OBS: 55799.8  0.0  V  NULL	505824.662  13976.452	13.240  0.030
OBS: 55799.8  0.0  B  NULL	398107.171  14666.810	13.500  0.040
OBS: 55799.8  0.0  I  NULL	648634.434  17922.432	12.970  0.030
OBS: 55799.8  0.0  R  NULL	544502.653  5015.055	13.160  0.010
OBS: 55799.8  0.0  U  NULL	383707.245  35340.743	13.540  0.100
OBS: 55799.8  0.0  V  NULL	510505.000  9403.850	13.230  0.020
OBS: 55800.1  0.0  U  NULL	427759.831  12607.404	13.422  0.032
OBS: 55800.1  0.0  B  NULL	473805.393  13091.727	13.311  0.030
OBS: 55800.1  0.0  V  NULL	618870.811  18240.035	13.021  0.032
OBS: 55800.1  0.0  B  NULL	469461.519  19889.942	13.321  0.046
OBS: 55800.1  0.0  I  NULL	665579.596  15938.558	12.942  0.026
OBS: 55800.1  0.0  R  NULL	657657.837  14537.406	12.955  0.024
OBS: 55800.1  0.0  V  NULL	616595.002  7382.765	13.025  0.013
OBS: 55800.2  0.0  g  NULL	682573.778  5324.237	12.915  0.008
OBS: 55800.2  0.0  U  NULL	477749.235  14080.746	13.302  0.032
OBS: 55800.2  0.0  B  NULL	525291.048  14514.328	13.199  0.030
OBS: 55800.2  0.0  V  NULL	660085.207  19454.750	12.951  0.032
OBS: 55800.2  0.0  g  NULL	670707.558  9659.979	12.934  0.016
