SNID: SN2006gj
SURVEY: NULL
FILTERS: VBUgir
REDSHIFT_FINAL: 0.0283 +- 0.0010
PEAKMJD: 54021.0
	
NOBS: 153
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 53998.0  V  NULL	8928.942  0.000	17.623  0.000
OBS: 53998.0  B  NULL	6031.148  0.000	18.049  0.000
OBS: 53998.0  U  NULL	4888.774  0.000	18.277  0.000
OBS: 53998.3  B  NULL	6338.697  0.000	17.995  0.000
OBS: 53998.3  V  NULL	8302.330  0.000	17.702  0.000
OBS: 53998.3  g  NULL	7530.087  0.000	17.808  0.000
OBS: 53998.3  i  NULL	8765.970  0.000	17.643  0.000
OBS: 53998.3  r  NULL	10064.681  0.000	17.493  0.000
OBS: 53998.3  u  NULL	3188.600  0.000	18.741  0.000
OBS: 54001.4  B  NULL	6409.144  0.000	17.983  0.000
OBS: 54001.4  V  NULL	8887.917  0.000	17.628  0.000
OBS: 54001.4  g  NULL	7877.710  0.000	17.759  0.000
OBS: 54001.4  i  NULL	8394.600  0.000	17.690  0.000
OBS: 54001.4  r  NULL	10804.384  0.000	17.416  0.000
OBS: 54001.4  u  NULL	2603.754  0.000	18.961  0.000
OBS: 54003.4  B  NULL	5701.643  0.000	18.110  0.000
OBS: 54003.4  V  NULL	8798.325  0.000	17.639  0.000
OBS: 54003.4  g  NULL	7224.370  0.000	17.853  0.000
OBS: 54003.4  i  NULL	8332.973  0.000	17.698  0.000
OBS: 54003.4  r  NULL	10715.193  0.000	17.425  0.000
OBS: 54003.4  u  NULL	2089.296  0.000	19.200  0.000
OBS: 54006.9  V  NULL	7550.922  0.000	17.805  0.000
OBS: 54006.9  B  NULL	3435.579  0.000	18.660  0.000
OBS: 54006.9  U  NULL	2516.518  0.000	18.998  0.000
OBS: 54007.3  B  NULL	3861.891  0.000	18.533  0.000
OBS: 54007.3  V  NULL	7318.128  0.000	17.839  0.000
OBS: 54007.3  g  NULL	5470.160  0.000	18.155  0.000
OBS: 54007.3  i  NULL	5888.437  0.000	18.075  0.000
OBS: 54007.3  r  NULL	8582.227  0.000	17.666  0.000
OBS: 54007.3  u  NULL	1243.942  0.000	19.763  0.000
OBS: 54008.0  V  NULL	6918.310  0.000	17.900  0.000
OBS: 54008.0  B  NULL	3144.850  0.000	18.756  0.000
OBS: 54008.0  U  NULL	2316.328  0.000	19.088  0.000
OBS: 54008.0  U  NULL	2181.725  0.000	19.153  0.000
OBS: 54008.9  V  NULL	6594.775  0.000	17.952  0.000
OBS: 54008.9  B  NULL	2749.160  0.000	18.902  0.000
OBS: 54008.9  U  NULL	1678.031  0.000	19.438  0.000
OBS: 54010.9  V  NULL	5566.728  0.000	18.136  0.000
OBS: 54011.9  V  NULL	5214.348  0.000	18.207  0.000
