SNID: SN2012fr
SURVEY: NULL
FILTERS: UBVgriRI
REDSHIFT_FINAL: 0.0054 +- 0.0010
PEAKMJD: 56241.0
	
NOBS: 1127
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 53937.9  U  NULL	1425.608  0.000	19.615  0.000
OBS: 53940.4  U  NULL	639.735  0.000	20.485  0.000
OBS: 56134.7  U  NULL	2754.229  0.000	18.900  0.000
OBS: 56228.8  U  NULL	38476.893  0.000	16.037  0.000
OBS: 56228.8  B  NULL	82262.139  0.000	15.212  0.000
OBS: 56228.8  V  NULL	97095.701  0.000	15.032  0.000
OBS: 56229.2  g  NULL	118032.064  0.000	14.820  0.000
OBS: 56229.2  r  NULL	103752.842  0.000	14.960  0.000
OBS: 56229.2  i  NULL	75857.758  0.000	15.300  0.000
OBS: 56229.2  B  NULL	115877.736  0.000	14.840  0.000
OBS: 56229.2  V  NULL	139315.680  0.000	14.640  0.000
OBS: 56229.2  R  NULL	127057.411  0.000	14.740  0.000
OBS: 56229.2  I  NULL	116949.939  0.000	14.830  0.000
OBS: 56229.3  B  NULL	82413.812  0.000	15.210  0.000
OBS: 56229.3  U  NULL	42461.956  0.000	15.930  0.000
OBS: 56229.3  V  NULL	111686.325  0.000	14.880  0.000
OBS: 56229.3  B  NULL	87096.359  0.000	15.150  0.000
OBS: 56229.3  U  NULL	46558.609  0.000	15.830  0.000
OBS: 56229.3  V  NULL	108642.562  0.000	14.910  0.000
OBS: 56230.2  g  NULL	229086.765  0.000	14.100  0.000
OBS: 56230.2  r  NULL	210862.815  0.000	14.190  0.000
OBS: 56230.2  i  NULL	133045.442  0.000	14.690  0.000
OBS: 56230.2  B  NULL	258226.019  0.000	13.970  0.000
OBS: 56230.2  V  NULL	242102.905  0.000	14.040  0.000
OBS: 56230.2  R  NULL	203235.701  0.000	14.230  0.000
OBS: 56230.2  I  NULL	212813.905  0.000	14.180  0.000
OBS: 56231.5  U  NULL	454569.194  0.000	13.356  0.000
OBS: 56231.5  B  NULL	438530.698  0.000	13.395  0.000
OBS: 56231.5  V  NULL	430526.610  0.000	13.415  0.000
OBS: 56231.6  B  NULL	356451.133  0.000	13.620  0.000
OBS: 56231.6  U  NULL	313328.572  0.000	13.760  0.000
OBS: 56231.6  V  NULL	356451.133  0.000	13.620  0.000
OBS: 56232.1  B  NULL	444631.267  0.000	13.380  0.000
OBS: 56232.1  U  NULL	424619.564  0.000	13.430  0.000
OBS: 56232.1  V  NULL	428548.520  0.000	13.420  0.000
OBS: 56232.3  B  NULL	478630.092  0.000	13.300  0.000
OBS: 56232.3  U  NULL	483058.802  0.000	13.290  0.000
OBS: 56232.3  V  NULL	461317.575  0.000	13.340  0.000
OBS: 56232.4  B  NULL	496592.321  0.000	13.260  0.000
OBS: 56232.4  U  NULL	501187.234  0.000	13.250  0.000
OBS: 56232.4  V  NULL	474241.985  0.000	13.310  0.000
OBS: 56233.2  g  NULL	648634.434  0.000	12.970  0.000
OBS: 56233.2  r  NULL	564936.975  0.000	13.120  0.000
OBS: 56233.2  i  NULL	416869.383  0.000	13.450  0.000
OBS: 56233.2  B  NULL	731139.083  0.000	12.840  0.000
OBS: 56233.2  V  NULL	685488.226  0.000	12.910  0.000
OBS: 56233.2  R  NULL	717794.291  0.000	12.860  0.000
OBS: 56233.2  I  NULL	630957.344  0.000	13.000  0.000
OBS: 56233.4  U  NULL	1012045.411  0.000	12.487  0.000
OBS: 56233.4  B  NULL	731812.798  0.000	12.839  0.000
OBS: 56233.4  V  NULL	705992.358  0.000	12.878  0.000
OBS: 56233.9  B  NULL	724435.960  0.000	12.850  0.000
OBS: 56233.9  U  NULL	920449.572  0.000	12.590  0.000
OBS: 56233.9  V  NULL	704693.069  0.000	12.880  0.000
OBS: 56234.0  B  NULL	758577.575  0.000	12.800  0.000
OBS: 56234.0  U  NULL	920449.572  0.000	12.590  0.000
OBS: 56234.0  V  NULL	704693.069  0.000	12.880  0.000
OBS: 56234.2  g  NULL	794328.235  0.000	12.750  0.000
OBS: 56234.2  r  NULL	679203.633  0.000	12.920  0.000
OBS: 56234.2  i  NULL	501187.234  0.000	13.250  0.000
OBS: 56234.2  B  NULL	912010.839  0.000	12.600  0.000
OBS: 56234.2  V  NULL	801678.063  0.000	12.740  0.000
OBS: 56234.2  R  NULL	855066.713  0.000	12.670  0.000
OBS: 56234.2  I  NULL	751622.894  0.000	12.810  0.000
OBS: 56235.2  g  NULL	954992.586  0.000	12.550  0.000
OBS: 56235.2  r  NULL	794328.235  0.000	12.750  0.000
OBS: 56235.2  i  NULL	570164.272  0.000	13.110  0.000
OBS: 56235.2  B  NULL	1047128.548  0.000	12.450  0.000
OBS: 56235.2  U  NULL	1507995.342  0.000	12.054  0.000
OBS: 56235.2  V  NULL	953235.044  0.000	12.552  0.000
OBS: 56235.2  I  NULL	847227.414  0.000	12.680  0.000
OBS: 56235.5  R  NULL	1009252.886  0.000	12.490  0.000
OBS: 56235.6  B  NULL	870963.590  0.000	12.650  0.000
OBS: 56235.6  U  NULL	1380384.265  0.000	12.150  0.000
OBS: 56235.6  V  NULL	937562.007  0.000	12.570  0.000
OBS: 56235.6  U  NULL	1270574.105  0.000	12.240  0.000
OBS: 56235.6  V  NULL	928966.387  0.000	12.580  0.000
OBS: 56235.7  U  NULL	1406047.524  0.000	12.130  0.000
OBS: 56235.7  V  NULL	954992.586  0.000	12.550  0.000
OBS: 56235.8  U  NULL	1367728.826  0.000	12.160  0.000
OBS: 56235.8  V  NULL	972747.224  0.000	12.530  0.000
OBS: 56235.9  U  NULL	1342764.961  0.000	12.180  0.000
OBS: 56235.9  V  NULL	912010.839  0.000	12.600  0.000
OBS: 56236.2  g  NULL	1047128.548  0.000	12.450  0.000
OBS: 56236.2  r  NULL	920449.572  0.000	12.590  0.000
OBS: 56236.2  i  NULL	613762.005  0.000	13.030  0.000
OBS: 56236.2  B  NULL	1169499.391  0.000	12.330  0.000
OBS: 56236.2  V  NULL	1086425.624  0.000	12.410  0.000
OBS: 56236.2  R  NULL	1066596.121  0.000	12.430  0.000
OBS: 56236.2  I  NULL	912010.839  0.000	12.600  0.000
OBS: 56236.2  B  NULL	1056817.509  0.000	12.440  0.000
OBS: 56236.2  I  NULL	895364.766  0.000	12.620  0.000
OBS: 56236.2  R  NULL	1202264.435  0.000	12.300  0.000
OBS: 56236.2  V  NULL	862978.548  0.000	12.660  0.000
OBS: 56237.2  B  NULL	1202264.435  0.000	12.300  0.000
OBS: 56237.2  I  NULL	1018591.388  0.000	12.480  0.000
OBS: 56237.2  R  NULL	1282330.583  0.000	12.230  0.000
OBS: 56237.2  V  NULL	981747.943  0.000	12.520  0.000
OBS: 56237.2  g  NULL	1202264.435  0.000	12.300  0.000
OBS: 56237.2  r  NULL	1000000.000  0.000	12.500  0.000
OBS: 56237.2  i  NULL	636795.521  0.000	12.990  0.000
OBS: 56237.2  B  NULL	1282330.583  0.000	12.230  0.000
OBS: 56237.2  V  NULL	1213388.850  0.000	12.290  0.000
OBS: 56237.2  R  NULL	1213388.850  0.000	12.290  0.000
OBS: 56237.2  I  NULL	981747.943  0.000	12.520  0.000
OBS: 56237.3  V  NULL	1172735.306  0.000	12.327  0.000
OBS: 56237.7  B  NULL	1096478.196  0.000	12.400  0.000
OBS: 56237.7  U  NULL	1629296.033  0.000	11.970  0.000
OBS: 56237.7  V  NULL	1158777.356  0.000	12.340  0.000
OBS: 56237.9  V  NULL	1180320.636  0.000	12.320  0.000
OBS: 56238.2  r  NULL	1066596.121  0.000	12.430  0.000
OBS: 56238.3  i  NULL	672976.656  0.000	12.930  0.000
OBS: 56238.3  B  NULL	1406047.524  0.000	12.130  0.000
OBS: 56238.3  V  NULL	1330454.418  0.000	12.190  0.000
OBS: 56238.3  R  NULL	1247383.514  0.000	12.260  0.000
OBS: 56238.3  I  NULL	1028016.298  0.000	12.470  0.000
OBS: 56238.5  g  NULL	1137627.286  0.000	12.360  0.000
OBS: 56239.1  V  NULL	1390592.875  0.000	12.142  0.000
OBS: 56239.2  B  NULL	1432187.899  0.000	12.110  0.000
OBS: 56239.2  I  NULL	1127197.456  0.000	12.370  0.000
OBS: 56239.2  R  NULL	1513561.248  0.000	12.050  0.000
OBS: 56239.2  V  NULL	1270574.105  0.000	12.240  0.000
OBS: 56239.2  g  NULL	1258925.412  0.000	12.250  0.000
OBS: 56239.2  r  NULL	1148153.621  0.000	12.350  0.000
OBS: 56239.2  i  NULL	685488.226  0.000	12.910  0.000
OBS: 56239.2  B  NULL	1499684.836  0.000	12.060  0.000
OBS: 56239.2  V  NULL	1432187.899  0.000	12.110  0.000
OBS: 56239.2  R  NULL	1380384.265  0.000	12.150  0.000
OBS: 56239.2  I  NULL	1028016.298  0.000	12.470  0.000
OBS: 56239.6  B  NULL	1393156.803  0.000	12.140  0.000
OBS: 56239.6  U  NULL	1923091.729  0.000	11.790  0.000
OBS: 56239.6  V  NULL	1380384.265  0.000	12.150  0.000
OBS: 56241.1  V  NULL	1520547.530  0.000	12.045  0.000
OBS: 56241.2  g  NULL	1282330.583  0.000	12.230  0.000
OBS: 56241.2  r  NULL	1037528.416  0.000	12.460  0.000
OBS: 56241.2  i  NULL	642687.717  0.000	12.980  0.000
OBS: 56241.2  B  NULL	1472312.502  0.000	12.080  0.000
OBS: 56241.2  V  NULL	1472312.502  0.000	12.080  0.000
OBS: 56241.2  R  NULL	1458814.260  0.000	12.090  0.000
OBS: 56241.2  I  NULL	1009252.886  0.000	12.490  0.000
OBS: 56241.2  B  NULL	1555965.632  0.000	12.020  0.000
OBS: 56241.2  I  NULL	1224616.199  0.000	12.280  0.000
OBS: 56241.2  R  NULL	1690440.932  0.000	11.930  0.000
OBS: 56241.2  V  NULL	1393156.803  0.000	12.140  0.000
OBS: 56241.6  B  NULL	1458814.260  0.000	12.090  0.000
OBS: 56241.6  U  NULL	2013724.250  0.000	11.740  0.000
OBS: 56241.6  V  NULL	1499684.836  0.000	12.060  0.000
OBS: 56242.2  g  NULL	1318256.739  0.000	12.200  0.000
OBS: 56242.2  r  NULL	1247383.514  0.000	12.260  0.000
OBS: 56242.2  i  NULL	654636.174  0.000	12.960  0.000
OBS: 56242.2  B  NULL	1527566.058  0.000	12.040  0.000
OBS: 56242.2  V  NULL	1513561.248  0.000	12.050  0.000
OBS: 56242.2  R  NULL	1499684.836  0.000	12.060  0.000
OBS: 56242.2  I  NULL	990831.945  0.000	12.510  0.000
OBS: 56243.2  B  NULL	1659586.907  0.000	11.950  0.000
OBS: 56243.2  I  NULL	1213388.850  0.000	12.290  0.000
OBS: 56243.2  R  NULL	1753880.502  0.000	11.890  0.000
OBS: 56243.2  V  NULL	1527566.058  0.000	12.040  0.000
OBS: 56243.7  U  NULL	1933748.545  0.000	11.784  0.000
OBS: 56243.7  B  NULL	1445439.771  0.000	12.100  0.000
OBS: 56243.7  V  NULL	1590742.924  0.000	11.996  0.000
OBS: 56244.2  g  NULL	1380384.265  0.000	12.150  0.000
OBS: 56244.2  B  NULL	1541700.453  0.000	12.030  0.000
