SNID: SN2017cbv
SURVEY: NULL
FILTERS: UBV
REDSHIFT_FINAL: 0.0040 +- 0.0010
PEAKMJD: 57838.0
	
NOBS: 163
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 57822.6  U  NULL	93756.201  0.000	15.070  0.000
OBS: 57822.6  B  NULL	63796.962  0.000	15.488  0.000
OBS: 57822.6  V  NULL	65584.317  0.000	15.458  0.000
OBS: 57824.1  U  NULL	186380.297  0.000	14.324  0.000
OBS: 57824.1  B  NULL	169199.860  0.000	14.429  0.000
OBS: 57824.1  V  NULL	202115.677  0.000	14.236  0.000
OBS: 57826.2  B  NULL	318859.969  0.000	13.741  0.000
OBS: 57826.2  U  NULL	281060.620  0.000	13.878  0.000
OBS: 57826.3  V  NULL	383354.001  0.000	13.541  0.000
OBS: 57832.0  V  NULL	1303767.047  0.000	12.212  0.000
OBS: 57832.6  V  NULL	1470957.077  0.000	12.081  0.000
OBS: 57836.0  U  NULL	2416573.451  0.000	11.542  0.000
OBS: 57836.0  B  NULL	1668783.511  0.000	11.944  0.000
OBS: 57838.7  U  NULL	2516517.762  0.000	11.498  0.000
OBS: 57838.7  B  NULL	1841619.904  0.000	11.837  0.000
OBS: 57838.7  V  NULL	2173701.975  0.000	11.657  0.000
OBS: 57844.4  U  NULL	1949844.600  0.000	11.775  0.000
OBS: 57844.4  B  NULL	1839924.490  0.000	11.838  0.000
OBS: 57848.6  U  NULL	1306170.888  0.000	12.210  0.000
OBS: 57848.6  B  NULL	1466898.282  0.000	12.084  0.000
OBS: 57848.6  V  NULL	2047387.276  0.000	11.722  0.000
OBS: 57850.6  U  NULL	1074484.117  0.000	12.422  0.000
OBS: 57850.6  B  NULL	1257766.432  0.000	12.251  0.000
OBS: 57850.6  V  NULL	1903706.532  0.000	11.801  0.000
OBS: 57852.5  U  NULL	878213.280  0.000	12.641  0.000
OBS: 57852.5  B  NULL	1112756.142  0.000	12.384  0.000
OBS: 57852.5  V  NULL	1752265.862  0.000	11.891  0.000
OBS: 57854.0  U  NULL	721107.479  0.000	12.855  0.000
OBS: 57854.0  B  NULL	972747.224  0.000	12.530  0.000
OBS: 57854.0  V  NULL	1593675.881  0.000	11.994  0.000
OBS: 57856.7  U  NULL	511446.252  0.000	13.228  0.000
OBS: 57856.7  B  NULL	743361.390  0.000	12.822  0.000
OBS: 57856.7  V  NULL	1386755.829  0.000	12.145  0.000
OBS: 57858.5  U  NULL	410015.241  0.000	13.468  0.000
OBS: 57858.5  B  NULL	603670.565  0.000	13.048  0.000
OBS: 57858.5  V  NULL	1258925.412  0.000	12.250  0.000
OBS: 57862.2  U  NULL	263269.167  0.000	13.949  0.000
OBS: 57862.2  B  NULL	433710.564  0.000	13.407  0.000
OBS: 57862.2  V  NULL	1045201.441  0.000	12.452  0.000
OBS: 57864.3  U  NULL	211836.114  0.000	14.185  0.000
OBS: 57864.3  B  NULL	357437.406  0.000	13.617  0.000
OBS: 57864.3  V  NULL	937562.007  0.000	12.570  0.000
OBS: 57866.1  U  NULL	175711.425  0.000	14.388  0.000
OBS: 57866.1  B  NULL	303109.815  0.000	13.796  0.000
OBS: 57866.1  V  NULL	859805.067  0.000	12.664  0.000
OBS: 57878.0  U  NULL	98174.794  0.000	15.020  0.000
OBS: 57878.0  B  NULL	146150.397  0.000	14.588  0.000
OBS: 57878.9  V  NULL	413428.108  0.000	13.459  0.000
OBS: 57884.2  U  NULL	77410.523  0.000	15.278  0.000
OBS: 57884.2  B  NULL	124508.786  0.000	14.762  0.000
OBS: 57884.2  V  NULL	386189.089  0.000	13.533  0.000
OBS: 57888.4  U  NULL	80984.145  0.000	15.229  0.000
OBS: 57888.4  B  NULL	124165.231  0.000	14.765  0.000
OBS: 57888.4  V  NULL	335428.531  0.000	13.686  0.000
OBS: 57904.4  U  NULL	48618.326  0.000	15.783  0.000
OBS: 57904.4  B  NULL	91453.430  0.000	15.097  0.000
OBS: 57904.4  V  NULL	235071.512  0.000	14.072  0.000
OBS: 57918.4  U  NULL	36812.897  0.000	16.085  0.000
OBS: 57918.4  B  NULL	77054.854  0.000	15.283  0.000
OBS: 57918.4  V  NULL	151635.190  0.000	14.548  0.000
OBS: 57935.5  U  NULL	28366.124  0.000	16.368  0.000
OBS: 57935.5  B  NULL	64923.212  0.000	15.469  0.000
OBS: 57935.5  V  NULL	104809.343  0.000	14.949  0.000
OBS: 57938.0  U  NULL	32181.034  0.000	16.231  0.000
OBS: 57938.0  B  NULL	63386.971  0.000	15.495  0.000
OBS: 57938.0  V  NULL	98446.436  0.000	15.017  0.000
OBS: 57938.3  U  NULL	26109.587  0.000	16.458  0.000
OBS: 57938.3  B  NULL	60534.087  0.000	15.545  0.000
OBS: 57938.3  V  NULL	104327.788  0.000	14.954  0.000
OBS: 57949.3  U  NULL	21086.281  0.000	16.690  0.000
OBS: 57949.3  B  NULL	48797.773  0.000	15.779  0.000
OBS: 57949.3  V  NULL	74473.197  0.000	15.320  0.000
OBS: 57953.3  U  NULL	18399.245  0.000	16.838  0.000
OBS: 57953.3  B  NULL	45331.491  0.000	15.859  0.000
OBS: 57953.3  V  NULL	72044.362  0.000	15.356  0.000
OBS: 57960.5  U  NULL	16025.072  0.000	16.988  0.000
OBS: 57960.5  B  NULL	42933.866  0.000	15.918  0.000
OBS: 57960.5  V  NULL	66742.120  0.000	15.439  0.000
END: 
