SNID: 2017cbv
SURVEY: NULL
FILTERS: UBVgri
RA: 218.143417
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57822.192 U 69246.8464 765.3444 15.3990 0.0120
OBS: 57822.196 B 39920.8702 257.3794 15.9970 0.0070
OBS: 57822.199 B 40663.0546 262.1644 15.9770 0.0070
OBS: 57822.202 V 42266.8614 311.4337 15.9350 0.0080
OBS: 57822.204 V 43611.3971 321.3406 15.9010 0.0080
OBS: 57822.206 g 44874.5390 247.9859 15.8700 0.0060
OBS: 57822.208 g 44791.9531 288.7844 15.8720 0.0070
OBS: 57822.211 r 44258.8372 285.3473 15.8850 0.0070
OBS: 57822.213 r 44218.0921 325.8109 15.8860 0.0080
OBS: 57822.215 i 37635.7002 311.9738 16.0610 0.0090
OBS: 57822.217 i 38797.1657 393.0686 16.0280 0.0110
OBS: 57822.240 U 74954.8950 759.3961 15.3130 0.0110
OBS: 57822.244 U 75162.2894 761.4973 15.3100 0.0110
OBS: 57822.248 B 44750.7172 247.3016 15.8730 0.0060
OBS: 57822.251 B 43853.0698 242.3410 15.8950 0.0060
OBS: 57822.254 V 46302.0266 383.8117 15.8360 0.0090
OBS: 57822.256 V 45456.9194 334.9390 15.8560 0.0080
OBS: 57822.258 g 49659.2321 228.6892 15.7600 0.0050
OBS: 57822.261 g 49203.9536 317.2296 15.7700 0.0070
OBS: 57822.264 r 47774.9235 308.0163 15.8020 0.0070
OBS: 57822.266 r 48305.8802 311.4395 15.7900 0.0070
OBS: 57822.268 i 42344.7916 312.0080 15.9330 0.0080
OBS: 57822.269 i 41840.8020 308.2944 15.9460 0.0080
OBS: 57822.363 U 87579.0036 806.6324 15.1440 0.0100
OBS: 57822.367 U 87902.2517 809.6097 15.1400 0.0100
OBS: 57822.371 B 51903.9010 239.0263 15.7120 0.0050
OBS: 57822.374 B 51999.5997 239.4670 15.7100 0.0050
OBS: 57822.377 V 54300.0213 300.0730 15.6630 0.0060
OBS: 57822.379 V 54651.2375 302.0139 15.6560 0.0060
OBS: 57822.381 g 60255.9586 277.4889 15.5500 0.0050
OBS: 57822.384 g 60534.0875 334.5237 15.5450 0.0060
OBS: 57822.387 r 57068.9655 315.3748 15.6090 0.0060
OBS: 57822.389 r 56702.2118 313.3480 15.6160 0.0060
OBS: 57822.391 i 48618.3258 358.2331 15.7830 0.0080
OBS: 57822.392 i 48752.8490 359.2243 15.7800 0.0080
OBS: 57822.563 U 93756.2007 4576.6906 15.0700 0.0530
