SNID: 2017cbv
SURVEY: NULL
FILTERS: uBVgri
RA: 218.143417 
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57822.325 B 50299.0752 236.2685 15.7461 0.0051
OBS: 57823.179 B 110042.3864 364.8700 14.8961 0.0036
OBS: 57823.288 B 121271.8492 457.9516 14.7906 0.0041
OBS: 57823.391 B 128469.4900 402.3042 14.7280 0.0034
OBS: 57824.381 B 169621.1487 484.3032 14.4263 0.0031
OBS: 57825.382 B 228391.5332 567.9622 14.1033 0.0027
OBS: 57826.339 B 339375.1196 875.2129 13.6733 0.0028
OBS: 57827.289 B 466960.3437 1204.2418 13.3268 0.0028
OBS: 57828.342 B 628347.6570 1388.9510 13.0045 0.0024
OBS: 57831.366 B 1131878.9937 2397.7479 12.3655 0.0023
OBS: 57832.346 B 1263222.9289 1861.5541 12.2463 0.0016
OBS: 57833.348 B 1513840.0824 3067.4561 12.0498 0.0022
OBS: 57849.302 B 1505636.0338 4298.9003 12.0557 0.0031
OBS: 57849.303 B 1612723.8180 2673.6724 11.9811 0.0018
OBS: 57850.291 B 1352695.3590 2242.5812 12.1720 0.0018
OBS: 57851.232 B 1319592.9906 2066.1631 12.1989 0.0017
OBS: 57852.297 B 1143299.4643 1790.1301 12.3546 0.0017
OBS: 57856.320 B 787480.8475 1233.0043 12.7594 0.0017
OBS: 57864.324 B 392717.2699 795.7531 13.5148 0.0022
OBS: 57865.287 B 369623.8616 919.1776 13.5806 0.0027
OBS: 57866.255 B 342263.0373 756.5662 13.6641 0.0024
OBS: 57867.212 B 313964.1059 780.7634 13.7578 0.0027
OBS: 57869.293 B 250841.8528 623.7915 14.0015 0.0027
OBS: 57870.279 B 271468.8480 725.0929 13.9157 0.0029
OBS: 57870.281 B 257252.7346 758.2033 13.9741 0.0032
OBS: 57871.417 B 212755.1101 470.2913 14.1803 0.0024
OBS: 57872.331 B 208641.1655 441.9809 14.2015 0.0023
OBS: 57875.374 B 171680.1168 458.5574 14.4132 0.0029
OBS: 57876.364 B 164770.7050 424.9264 14.4578 0.0028
OBS: 57882.305 B 132482.9531 463.6810 14.6946 0.0038
OBS: 57888.355 B 112657.4716 498.0546 14.8706 0.0048
OBS: 57889.312 B 115387.8284 595.1463 14.8446 0.0056
OBS: 57909.258 B 90915.9330 460.5517 15.1034 0.0055
OBS: 57915.267 B 84450.0673 466.6883 15.1835 0.0060
OBS: 57916.281 B 82178.8387 401.1544 15.2131 0.0053
OBS: 57922.262 B 83245.3531 2323.1557 15.1991 0.0303
OBS: 57933.243 B 65048.9065 419.3858 15.4669 0.0070
OBS: 57945.196 B 59232.4914 327.3308 15.5686 0.0060
OBS: 57953.966 B 59775.0571 275.2743 15.5587 0.0050
OBS: 57968.064 B 42266.8614 179.0744 15.9350 0.0046
OBS: 57979.999 B 37663.4414 114.4747 16.0602 0.0033
OBS: 57993.066 B 30308.1899 131.1999 16.2961 0.0047
OBS: 58000.009 B 27766.4271 143.2134 16.3912 0.0056
OBS: 57822.327 V 60117.3737 310.0728 15.5525 0.0056
OBS: 57823.180 V 134921.1394 509.4945 14.6748 0.0041
OBS: 57823.289 V 148361.0847 519.2533 14.5717 0.0038
OBS: 57823.392 V 154312.1066 440.5928 14.5290 0.0031
OBS: 57824.378 V 218615.0215 684.5964 14.1508 0.0034
OBS: 57825.380 V 298758.3141 825.4997 13.8117 0.0030
OBS: 57826.340 V 420920.4248 852.9005 13.4395 0.0022
OBS: 57827.291 V 567126.5771 992.4515 13.1158 0.0019
OBS: 57828.341 V 769272.1324 1417.0516 12.7848 0.0020
OBS: 57831.364 V 1294553.4904 2384.6557 12.2197 0.0020
OBS: 57832.345 V 1456263.6193 2414.2830 12.0919 0.0018
OBS: 57833.346 V 1783035.5410 3120.2492 11.8721 0.0019
OBS: 57849.299 V 2025442.8798 3544.4535 11.7337 0.0019
OBS: 57852.294 V 1728223.8729 1750.9283 11.9060 0.0011
OBS: 57856.318 V 1414750.9688 1693.9439 12.1233 0.0013
OBS: 57864.325 V 919856.3272 1440.2723 12.5907 0.0017
OBS: 57865.286 V 896354.9063 1651.1468 12.6188 0.0020
OBS: 57866.257 V 860914.4554 1585.8630 12.6626 0.0020
OBS: 57867.213 V 802047.3348 1625.1684 12.7395 0.0022
OBS: 57869.292 V 725771.6503 1203.2287 12.8480 0.0018
OBS: 57870.285 V 721240.3243 1262.1451 12.8548 0.0019
