SNID: 2018gv
RA: 121.394208
DECL: -11.437861
SURVEY: NULL
FILTERS: BVgri
REDSHIFT_FINAL: 0.0053 +- 0.0010
SEARCH_PEAKMJD: 58144

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 58139.173670 B 253620.12596 692.14203 13.98954 0.00296
OBS: 58139.183070 g 297496.42080 558.74237 13.81630 0.00204
OBS: 58139.184090 i 208101.13955 633.52739 14.20431 0.00330
OBS: 58139.175100 V 281775.62550 745.10668 13.87524 0.00287
OBS: 58139.185120 r 275026.54869 633.49084 13.90156 0.00250
OBS: 58173.249760 i 196886.11186 472.22317 14.26446 0.00260
OBS: 58173.248600 r 317823.57494 622.54609 13.74453 0.00213
OBS: 58173.250930 g 203667.01961 421.39995 14.22770 0.00224
OBS: 58173.259000 B 140389.05727 536.91480 14.63167 0.00415
OBS: 58173.257400 V 295284.65608 779.12880 13.82440 0.00286
OBS: 58202.026340 V 87557.89726 497.39166 15.14426 0.00616
OBS: 58202.019720 i 73513.41242 412.08330 15.33408 0.00608
OBS: 58202.028320 B 40172.75234 376.56876 15.99017 0.01017
OBS: 58202.018370 r 101907.70787 395.65095 14.97948 0.00421
OBS: 58202.021040 g 56788.81128 284.24443 15.61434 0.00543
OBS: 58137.076760 r 130285.51733 415.83714 14.71276 0.00346
OBS: 58137.078410 g 134104.04922 417.03004 14.68140 0.00337
OBS: 58137.088320 B 128489.84532 583.30720 14.72783 0.00493
OBS: 58137.075030 r 132999.16635 436.79965 14.69038 0.00356
OBS: 58137.073090 i 99286.65906 477.07254 15.00777 0.00521
OBS: 58137.093040 B 125741.76130 526.07350 14.75130 0.00454
OBS: 58137.071330 i 97615.77624 461.66888 15.02620 0.00513
OBS: 58137.094880 B 124827.79452 597.22345 14.75922 0.00519
OBS: 58137.086490 V 139611.13102 573.72816 14.63770 0.00446
OBS: 58137.090130 B 123476.24983 563.98010 14.77104 0.00496
OBS: 58161.178830 i 196147.58285 612.65754 14.26854 0.00339
OBS: 58161.180390 r 445299.94959 766.48457 13.37837 0.00187
OBS: 58161.170470 V 528605.55711 1062.04934 13.19217 0.00218
OBS: 58161.177090 g 497137.44366 706.34211 13.25881 0.00154
OBS: 58161.167860 B 428791.28452 913.16061 13.41939 0.00231
OBS: 58194.064770 g 69444.41011 198.80224 15.39591 0.00311
OBS: 58194.076110 B 46435.73124 216.96751 15.83287 0.00507
OBS: 58194.061490 r 136703.25422 326.76908 14.66055 0.00259
OBS: 58194.074580 V 113634.24592 378.68584 14.86123 0.00362
OBS: 58194.063170 i 113881.21514 307.04065 14.85887 0.00293
OBS: 58166.147070 V 420014.95806 972.35051 13.44184 0.00251
OBS: 58166.148300 B 285899.66182 770.25532 13.85947 0.00292
OBS: 58166.141690 g 361503.86732 638.40450 13.60472 0.00192
OBS: 58166.138760 r 357892.25987 744.12988 13.61562 0.00226
OBS: 58166.140050 i 168874.62581 513.26555 14.43109 0.00330
OBS: 58189.109030 B 53260.47822 251.67506 15.68399 0.00513
OBS: 58189.128780 g 79677.20203 288.61201 15.24666 0.00393
OBS: 58189.129970 i 142639.95819 400.86278 14.61440 0.00305
OBS: 58189.131180 r 167395.49663 423.91088 14.44064 0.00275
OBS: 58189.110560 V 132510.37713 391.67616 14.69438 0.00321
OBS: 58134.341820 g 29638.40943 180.75046 16.32036 0.00662
OBS: 58134.343330 i 21583.29284 221.81188 16.66471 0.01115
OBS: 58134.344400 r 33359.93190 223.12496 16.19194 0.00726
OBS: 58174.131570 B 136950.93263 552.54698 14.65859 0.00438
OBS: 58174.130210 V 297649.26101 793.93913 13.81574 0.00289
OBS: 58174.117580 r 344499.96764 711.56155 13.65703 0.00224
OBS: 58174.119490 i 224140.66502 585.14062 14.12370 0.00283
OBS: 58174.120680 g 195791.56182 451.66657 14.27052 0.00250
OBS: 58174.122400 g 201237.95209 436.31158 14.24073 0.00235
OBS: 58201.058960 V 93159.62884 531.79487 15.07693 0.00619
OBS: 58201.051230 r 105451.52327 459.42240 14.94237 0.00473
OBS: 58201.052270 i 82764.82522 495.26226 15.20539 0.00649
OBS: 58201.060070 B 40944.65235 383.48600 15.96951 0.01016
OBS: 58201.053340 g 59403.63065 299.22592 15.56547 0.00547
OBS: 58146.205890 i 427944.12146 1096.05126 13.42153 0.00278
OBS: 58146.204830 r 645367.16381 1244.99318 12.97548 0.00209
OBS: 58146.207140 g 735381.32316 1241.11893 12.83372 0.00183
OBS: 58146.213440 B 695455.37792 1246.04193 12.89433 0.00194
OBS: 58146.211980 V 700396.11030 1536.88717 12.88664 0.00238
OBS: 58155.146590 r 673000.83241 1344.49899 12.92996 0.00217
OBS: 58155.147910 i 326489.19275 759.32821 13.71533 0.00252
OBS: 58155.155460 V 750500.94797 1268.44252 12.81162 0.00183
OBS: 58155.156900 B 655154.65615 1253.70243 12.95914 0.00208
OBS: 58155.149170 g 695844.71123 1105.95496 12.89372 0.00172
OBS: 58186.185120 r 197587.79535 512.13727 14.26060 0.00281
OBS: 58186.183870 i 172177.85974 527.12906 14.41006 0.00332
OBS: 58186.172230 B 58082.79643 254.20076 15.58988 0.00475
OBS: 58186.181300 g 87886.69273 289.92914 15.14019 0.00358
OBS: 58186.173900 V 154187.62616 538.58145 14.52988 0.00379
OBS: 58151.317440 B 699659.11366 1312.85345 12.88778 0.00204
OBS: 58151.316050 V 759382.56841 1892.52913 12.79885 0.00270
OBS: 58151.325660 g 746656.16249 1278.51374 12.81720 0.00186
OBS: 58151.327730 i 356241.20999 1005.78429 13.62064 0.00306
OBS: 58151.326690 r 712577.69445 1328.03720 12.86792 0.00202
OBS: 58205.036750 V 82883.30405 541.45766 15.20383 0.00709
OBS: 58205.031560 i 66557.05673 432.47786 15.44201 0.00705
OBS: 58205.032840 g 53742.83128 314.75103 15.67420 0.00635
OBS: 58205.030360 r 89577.60955 425.40638 15.11950 0.00515
OBS: 58205.038160 B 40001.28551 452.15077 15.99482 0.01226
OBS: 58170.118310 i 181277.70573 608.78116 14.35414 0.00364
OBS: 58170.125450 V 343756.07485 836.71787 13.65937 0.00264
OBS: 58170.126900 B 187471.52136 613.24350 14.31766 0.00355
OBS: 58170.119500 g 264924.10751 544.17372 13.94220 0.00223
OBS: 58170.116900 r 331717.06461 707.18863 13.69808 0.00231
OBS: 58142.208580 i 326330.09303 725.81306 13.71586 0.00241
OBS: 58142.207140 r 440211.20470 712.27392 13.39085 0.00176
OBS: 58142.218360 B 461301.49105 825.34823 13.34004 0.00194
OBS: 58142.209780 g 487411.21340 735.71946 13.28026 0.00164
OBS: 58142.216150 V 462588.34408 869.61827 13.33701 0.00204
OBS: 58168.127560 i 177937.43347 541.76374 14.37433 0.00330
OBS: 58168.128660 r 340711.98304 782.59099 13.66903 0.00249
OBS: 58168.126220 g 305483.98440 638.73749 13.78753 0.00227
OBS: 58168.116850 V 389807.36029 922.39130 13.52287 0.00257
OBS: 58168.118700 V 383574.99161 963.97744 13.54037 0.00273
OBS: 58168.115360 B 234672.38887 638.56520 14.07385 0.00295
OBS: 58193.061880 r 143821.49109 340.34966 14.60544 0.00257
OBS: 58193.060360 i 118065.49524 317.77151 14.81969 0.00292
OBS: 58193.058840 g 71991.45996 229.16808 15.35680 0.00345
OBS: 58193.046760 B 46924.11798 193.55444 15.82151 0.00448
OBS: 58193.048980 V 117280.36570 366.29576 14.82694 0.00339
OBS: 58162.130530 r 414347.09124 721.43400 13.45659 0.00189
OBS: 58162.129470 i 184005.34523 572.94731 14.33792 0.00338
OBS: 58162.128400 g 486718.35276 771.07920 13.28181 0.00172
OBS: 58162.121340 B 402970.91490 784.60992 13.48682 0.00211
OBS: 58162.123310 V 514821.49165 988.85989 13.22086 0.00208
OBS: 58135.100970 V 55243.36153 343.62149 15.64430 0.00675
OBS: 58135.091030 g 47499.71765 259.41362 15.80827 0.00593
OBS: 58135.103110 B 42196.82625 275.90805 15.93680 0.00709
OBS: 58135.088780 r 52261.25308 294.76466 15.70455 0.00612
OBS: 58135.089910 i 33902.83173 257.45452 16.17441 0.00824
OBS: 58190.056040 r 155746.64168 367.26834 14.51895 0.00256
OBS: 58190.054500 i 134714.95431 358.87682 14.67646 0.00289
OBS: 58190.042880 B 50254.79571 266.72422 15.74706 0.00576
OBS: 58190.052990 g 77189.34235 231.30693 15.28111 0.00325
OBS: 58190.044420 V 125590.93755 357.25771 14.75260 0.00309
OBS: 58196.037210 V 105883.75374 498.79745 14.93793 0.00511
OBS: 58196.038850 B 44432.05458 376.12278 15.88076 0.00918
OBS: 58196.032740 g 65642.32624 269.44859 15.45704 0.00445
OBS: 58196.030170 r 123019.78946 390.07940 14.77506 0.00344
OBS: 58196.031680 i 100682.35124 461.55594 14.99262 0.00497
OBS: 58165.134420 r 345617.22370 671.67661 13.65351 0.00211
OBS: 58165.135470 i 160922.81255 519.94346 14.48346 0.00351
OBS: 58165.136470 g 377199.19008 668.06692 13.55857 0.00192
OBS: 58165.143440 B 297485.68867 730.02848 13.81633 0.00266
