SNID: SN2005hk
SURVEY: NULL
FILTERS: riuzgVBUIR
REDSHIFT_FINAL: 0.0131 +- 0.0010
PEAKMJD: 53684.0
	
NOBS: 497
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 53622.3  r  NULL	3.017  0.000	26.301  0.000
OBS: 53622.3  r  NULL	3.003  0.000	26.306  0.000
OBS: 53622.3  i  NULL	8.480  0.000	25.179  0.000
OBS: 53622.3  i  NULL	8.457  0.000	25.182  0.000
OBS: 53622.3  u  NULL	4.410  0.000	25.889  0.000
OBS: 53622.3  u  NULL	4.104  0.000	25.967  0.000
OBS: 53622.3  z  NULL	100.554  0.000	22.494  0.000
OBS: 53622.3  z  NULL	100.369  0.000	22.496  0.000
OBS: 53622.3  g  NULL	13.341  0.000	24.687  0.000
OBS: 53622.3  g  NULL	13.317  0.000	24.689  0.000
OBS: 53627.3  r  NULL	36.847  0.000	23.584  0.000
OBS: 53627.3  r  NULL	36.678  0.000	23.589  0.000
OBS: 53627.3  i  NULL	7.079  0.000	25.375  0.000
OBS: 53627.3  i  NULL	7.060  0.000	25.378  0.000
OBS: 53627.3  u  NULL	21.125  0.000	24.188  0.000
OBS: 53627.3  u  NULL	20.970  0.000	24.196  0.000
OBS: 53627.3  z  NULL	138.038  0.000	22.150  0.000
OBS: 53627.3  z  NULL	138.038  0.000	22.150  0.000
OBS: 53627.3  g  NULL	9.594  0.000	25.045  0.000
OBS: 53627.3  g  NULL	9.568  0.000	25.048  0.000
OBS: 53634.3  r  NULL	18.047  0.000	24.359  0.000
OBS: 53634.3  r  NULL	18.014  0.000	24.361  0.000
OBS: 53634.3  i  NULL	4.831  0.000	25.790  0.000
OBS: 53634.3  i  NULL	4.813  0.000	25.794  0.000
OBS: 53634.3  u  NULL	2.116  0.000	26.686  0.000
OBS: 53634.3  u  NULL	1.955  0.000	26.772  0.000
OBS: 53634.3  z  NULL	35.843  0.000	23.614  0.000
OBS: 53634.3  z  NULL	35.416  0.000	23.627  0.000
OBS: 53634.3  g  NULL	23.768  0.000	24.060  0.000
OBS: 53634.3  g  NULL	23.594  0.000	24.068  0.000
OBS: 53638.3  r  NULL	28.106  0.000	23.878  0.000
OBS: 53638.3  r  NULL	28.003  0.000	23.882  0.000
OBS: 53638.3  i  NULL	28.655  0.000	23.857  0.000
OBS: 53638.3  i  NULL	28.602  0.000	23.859  0.000
OBS: 53638.3  u  NULL	4.011  0.000	25.992  0.000
OBS: 53638.3  u  NULL	3.726  0.000	26.072  0.000
OBS: 53638.3  z  NULL	72.711  0.000	22.846  0.000
OBS: 53638.3  z  NULL	72.310  0.000	22.852  0.000
OBS: 53638.3  g  NULL	13.893  0.000	24.643  0.000
OBS: 53638.3  g  NULL	13.855  0.000	24.646  0.000
OBS: 53640.3  r  NULL	4.467  0.000	25.875  0.000
OBS: 53640.3  r  NULL	4.450  0.000	25.879  0.000
OBS: 53640.3  i  NULL	10.452  0.000	24.952  0.000
OBS: 53640.3  i  NULL	10.433  0.000	24.954  0.000
OBS: 53640.3  u  NULL	3.555  0.000	26.123  0.000
OBS: 53640.3  u  NULL	3.296  0.000	26.205  0.000
OBS: 53655.3  r  NULL	15.262  0.000	24.541  0.000
OBS: 53655.3  r  NULL	15.248  0.000	24.542  0.000
OBS: 53655.3  i  NULL	61.546  0.000	23.027  0.000
OBS: 53655.3  i  NULL	61.376  0.000	23.030  0.000
OBS: 53655.3  u  NULL	41.457  0.000	23.456  0.000
OBS: 53655.3  u  NULL	40.888  0.000	23.471  0.000
OBS: 53655.3  z  NULL	40.663  0.000	23.477  0.000
