SNID: SN2011fe
SURVEY: NULL
FILTERS: gUBVIR
REDSHIFT_FINAL: 0.0008 +- 0.0010
PEAKMJD: 55810.0
	
NOBS: 2847
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 54975.2  g  NULL	136.773  0.000	22.160  0.000
OBS: 54975.3  g  NULL	139.316  0.000	22.140  0.000
OBS: 54975.4  g  NULL	119.124  0.000	22.310  0.000
OBS: 54975.4  g  NULL	155.597  0.000	22.020  0.000
OBS: 54975.4  g  NULL	166.878  0.000	21.944  0.000
OBS: 54975.5  g  NULL	150.800  0.000	22.054  0.000
OBS: 54975.5  g  NULL	357.569  0.000	21.117  0.000
OBS: 55245.5  g  NULL	141.645  0.000	22.122  0.000
OBS: 55562.6  g  NULL	169.668  0.000	21.926  0.000
OBS: 55563.6  g  NULL	162.330  0.000	21.974  0.000
OBS: 55566.4  g  NULL	400.682  0.000	20.993  0.000
OBS: 55569.4  g  NULL	133.131  0.000	22.189  0.000
OBS: 55596.4  g  NULL	520.475  0.000	20.709  0.000
OBS: 55598.3  g  NULL	947.109  0.000	20.059  0.000
OBS: 55598.4  g  NULL	228.244  0.000	21.604  0.000
OBS: 55624.4  g  NULL	152.757  0.000	22.040  0.000
OBS: 55629.2  g  NULL	395.913  0.000	21.006  0.000
OBS: 55629.3  g  NULL	317.687  0.000	21.245  0.000
OBS: 55630.3  g  NULL	175.065  0.000	21.892  0.000
OBS: 55630.3  g  NULL	220.618  0.000	21.641  0.000
OBS: 55631.2  g  NULL	231.079  0.000	21.591  0.000
OBS: 55632.2  g  NULL	381.593  0.000	21.046  0.000
OBS: 55632.3  g  NULL	376.704  0.000	21.060  0.000
OBS: 55649.3  g  NULL	131.220  0.000	22.205  0.000
OBS: 55649.3  g  NULL	286.286  0.000	21.358  0.000
OBS: 55650.2  g  NULL	189.706  0.000	21.805  0.000
OBS: 55650.3  g  NULL	166.878  0.000	21.944  0.000
OBS: 55653.3  g  NULL	125.893  0.000	22.250  0.000
OBS: 55653.3  g  NULL	125.997  0.000	22.249  0.000
OBS: 55654.3  g  NULL	138.829  0.000	22.144  0.000
OBS: 55654.3  g  NULL	209.315  0.000	21.698  0.000
OBS: 55655.3  g  NULL	197.697  0.000	21.760  0.000
OBS: 55655.4  g  NULL	127.409  0.000	22.237  0.000
OBS: 55656.3  g  NULL	130.257  0.000	22.213  0.000
OBS: 55656.3  g  NULL	143.615  0.000	22.107  0.000
OBS: 55657.3  g  NULL	1005.542  0.000	19.994  0.000
OBS: 55657.3  g  NULL	210.669  0.000	21.691  0.000
OBS: 55662.4  g  NULL	199.526  0.000	21.750  0.000
OBS: 55662.5  g  NULL	267.227  0.000	21.433  0.000
OBS: 55685.3  g  NULL	142.692  0.000	22.114  0.000
OBS: 55685.4  g  NULL	118.905  0.000	22.312  0.000
OBS: 55686.3  g  NULL	147.231  0.000	22.080  0.000
OBS: 55687.3  g  NULL	151.217  0.000	22.051  0.000
OBS: 55687.4  g  NULL	137.911  0.000	22.151  0.000
OBS: 55688.3  g  NULL	144.012  0.000	22.104  0.000
OBS: 55688.4  g  NULL	162.630  0.000	21.972  0.000
OBS: 55689.4  g  NULL	200.263  0.000	21.746  0.000
OBS: 55689.4  g  NULL	218.716  0.000	21.650  0.000
OBS: 55712.2  g  NULL	110.785  0.000	22.389  0.000
OBS: 55712.3  g  NULL	126.474  0.000	22.245  0.000
OBS: 55713.2  g  NULL	137.886  0.000	22.151  0.000
OBS: 55713.2  g  NULL	254.847  0.000	21.484  0.000
OBS: 55714.3  g  NULL	230.123  0.000	21.595  0.000
OBS: 55714.4  g  NULL	418.794  0.000	20.945  0.000
OBS: 55715.3  g  NULL	139.316  0.000	22.140  0.000
OBS: 55715.3  g  NULL	175.388  0.000	21.890  0.000
OBS: 55716.2  g  NULL	124.509  0.000	22.262  0.000
OBS: 55716.3  g  NULL	197.697  0.000	21.760  0.000
OBS: 55717.3  g  NULL	151.635  0.000	22.048  0.000
OBS: 55717.3  g  NULL	112.202  0.000	22.375  0.000
OBS: 55719.3  g  NULL	197.697  0.000	21.760  0.000
